[2024-01-13T10:28:15+0000] [PACMAN] Running 'pacman -Syu --root /d/a/msys2-installer/msys2-installer/_build/newmsys/msys64'
[2024-01-13T10:28:15+0000] [PACMAN] synchronizing package lists
[2024-01-13T10:28:49+0000] [ALPM] installed zlib (1.3-1)
[2024-01-13T10:28:49+0000] [ALPM] installed bsdtar (3.7.2-1)
[2024-01-13T10:28:49+0000] [ALPM] installed bzip2 (1.0.8-4)
[2024-01-13T10:28:49+0000] [ALPM] installed gmp (6.3.0-1)
[2024-01-13T10:28:49+0000] [ALPM] installed coreutils (8.32-5)
[2024-01-13T10:28:49+0000] [ALPM] installed openssl (3.2.0-1)
[2024-01-13T10:28:49+0000] [ALPM] installed findutils (4.9.0-3)
[2024-01-13T10:28:49+0000] [ALPM] installed sed (4.9-1)
[2024-01-13T10:28:49+0000] [ALPM] installed libffi (3.4.4-1)
[2024-01-13T10:28:57+0000] [ALPM] installed ncurses (6.4-2)
[2024-01-13T10:28:57+0000] [ALPM] installed libpcre2_8 (10.42-1)
[2024-01-13T10:28:57+0000] [ALPM] installed less (643-1)
[2024-01-13T10:28:57+0000] [ALPM] installed gzip (1.13-1)
[2024-01-13T10:28:57+0000] [ALPM] installed libxcrypt (4.4.36-1)
[2024-01-13T10:28:57+0000] [ALPM] installed info (7.1-2)
[2024-01-13T10:28:57+0000] [ALPM] installed libtasn1 (4.19.0-1)
[2024-01-13T10:28:57+0000] [ALPM] installed libp11-kit (0.25.3-1)
[2024-01-13T10:28:57+0000] [ALPM] installed p11-kit (0.25.3-1)
[2024-01-13T10:28:57+0000] [ALPM] installed ca-certificates (20230311-1)
[2024-01-13T10:28:58+0000] [ALPM] installed brotli (1.1.0-1)
[2024-01-13T10:28:58+0000] [ALPM] installed libdb (5.3.28-5)
[2024-01-13T10:28:58+0000] [ALPM] installed libedit (20221030_3.1-1)
[2024-01-13T10:28:58+0000] [ALPM] installed libsqlite (3.44.2-1)
[2024-01-13T10:28:58+0000] [ALPM] installed heimdal-libs (7.8.0-4)
[2024-01-13T10:28:58+0000] [ALPM] installed libunistring (1.1-2)
[2024-01-13T10:28:58+0000] [ALPM] installed libidn2 (2.3.4-2)
[2024-01-13T10:28:58+0000] [ALPM] installed libnghttp2 (1.58.0-1)
[2024-01-13T10:28:58+0000] [ALPM] installed libreadline (8.2.007-1)
[2024-01-13T10:28:58+0000] [ALPM] installed libxml2 (2.12.3-1)
[2024-01-13T10:28:58+0000] [ALPM] installed libgpg-error (1.47-1)
[2024-01-13T10:28:58+0000] [ALPM] installed libgcrypt (1.10.3-1)
[2024-01-13T10:28:58+0000] [ALPM] installed libxslt (1.1.39-1)
[2024-01-13T10:28:58+0000] [ALPM] installed libpsl (0.21.2-1)
[2024-01-13T10:28:59+0000] [ALPM] installed libssh2 (1.11.0-1)
[2024-01-13T10:28:59+0000] [ALPM] installed libcurl (8.5.0-1)
[2024-01-13T10:28:59+0000] [ALPM] installed curl (8.5.0-1)
[2024-01-13T10:28:59+0000] [ALPM] installed libpcre (8.45-4)
[2024-01-13T10:28:59+0000] [ALPM] installed grep (1~3.0-6)
[2024-01-13T10:28:59+0000] [ALPM] installed dash (0.5.12-1)
[2024-01-13T10:28:59+0000] [ALPM] installed file (5.45-1)
[2024-01-13T10:28:59+0000] [ALPM] installed mpfr (4.2.1-1)
[2024-01-13T10:29:00+0000] [ALPM] installed gawk (5.3.0-1)
[2024-01-13T10:29:00+0000] [ALPM] installed libargp (20110921-4)
[2024-01-13T10:29:00+0000] [ALPM] installed getent (2.18.90-4)
[2024-01-13T10:29:00+0000] [ALPM] installed inetutils (2.5-2)
[2024-01-13T10:29:00+0000] [ALPM] installed mintty (1~3.7.0-1)
[2024-01-13T10:29:00+0000] [ALPM] installed msys2-keyring (1~20231013-1)
[2024-01-13T10:29:00+0000] [ALPM] installed msys2-launcher (1.5-1)
[2024-01-13T10:29:00+0000] [ALPM] installed nano (7.2-1)
[2024-01-13T10:29:00+0000] [ALPM] installed libassuan (2.5.6-1)
[2024-01-13T10:29:00+0000] [ALPM] installed libhogweed (3.9.1-1)
[2024-01-13T10:29:00+0000] [ALPM] installed libnettle (3.9.1-1)
[2024-01-13T10:29:00+0000] [ALPM] installed libgnutls (3.8.2-1)
[2024-01-13T10:29:00+0000] [ALPM] installed libksba (1.6.5-1)
[2024-01-13T10:29:00+0000] [ALPM] installed libnpth (1.6-2)
[2024-01-13T10:29:00+0000] [ALPM] installed nettle (3.9.1-1)
[2024-01-13T10:29:00+0000] [ALPM] installed pinentry (1.2.1-1)
[2024-01-13T10:29:00+0000] [ALPM] installed gnupg (2.4.3-2)
[2024-01-13T10:29:00+0000] [ALPM] installed pacman-mirrors (20231208-1)
[2024-01-13T10:29:00+0000] [ALPM] installed which (2.21-4)
[2024-01-13T10:29:01+0000] [ALPM] installed xz (5.4.5-1)
[2024-01-13T10:29:01+0000] [ALPM] installed zstd (1.5.5-1)
[2024-01-13T10:29:01+0000] [ALPM] installed pacman (6.0.2-12)
[2024-01-13T10:29:01+0000] [ALPM] installed db (5.3.28-5)
[2024-01-13T10:29:01+0000] [ALPM] installed libgdbm (1.23-1)
[2024-01-13T10:29:01+0000] [ALPM] installed gdbm (1.23-1)
[2024-01-13T10:29:04+0000] [ALPM] installed perl (5.38.2-1)
[2024-01-13T10:29:04+0000] [ALPM] installed pacman-contrib (1.10.1-1)
[2024-01-13T10:29:04+0000] [ALPM] installed rebase (4.5.0-4)
[2024-01-13T10:29:04+0000] [ALPM] installed tar (1.35-2)
[2024-01-13T10:29:04+0000] [ALPM] installed time (1.9-3)
[2024-01-13T10:29:07+0000] [ALPM] installed tzcode (2023d-1)
[2024-01-13T10:29:07+0000] [ALPM] installed libutil-linux (2.35.2-4)
[2024-01-13T10:29:07+0000] [ALPM] installed util-linux (2.35.2-4)
[2024-01-13T10:29:07+0000] [ALPM] installed libgpgme (1.23.2-1)
[2024-01-13T10:29:07+0000] [ALPM] installed wget (1.21.4-1)
[2024-01-13T10:29:07+0000] [ALPM] installed base (2022.06-1)
[2024-01-13T10:29:07+0000] [ALPM] transaction completed
[2024-01-13T10:29:07+0000] [ALPM] running 'texinfo-install.hook'...
[2024-03-10T13:31:03+0300] [PACMAN] Running 'pacman -S --needed base-devel mingw-w64-ucrt-x86_64-toolchain'
[2024-03-10T13:32:09+0300] [ALPM] transaction started
[2024-03-10T13:32:09+0300] [ALPM] installed binutils (2.41-4)
[2024-03-10T13:32:09+0300] [ALPM] installed m4 (1.4.19-2)
[2024-03-10T13:32:10+0300] [ALPM] installed bison (3.8.2-5)
[2024-03-10T13:32:10+0300] [ALPM] installed diffstat (1.65-1)
[2024-03-10T13:32:10+0300] [ALPM] installed diffutils (3.10-1)
[2024-03-10T13:32:10+0300] [ALPM] installed dos2unix (7.5.1-1)
[2024-03-10T13:32:10+0300] [ALPM] installed flex (2.6.4-3)
[2024-03-10T13:32:11+0300] [ALPM] installed texinfo (7.1-2)
[2024-03-10T13:32:11+0300] [ALPM] installed texinfo-tex (7.1-2)
[2024-03-10T13:32:11+0300] [ALPM] installed make (4.4.1-1)
[2024-03-10T13:32:11+0300] [ALPM] installed patch (2.7.6-2)
[2024-03-10T13:32:11+0300] [ALPM] installed pkgconf (2.1.0-1)
[2024-03-10T13:32:11+0300] [ALPM] installed base-devel (2022.12-2)
[2024-03-10T13:32:11+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libwinpthread-git (11.0.0.r547.g4c8123efb-1)
[2024-03-10T13:32:11+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-libs (13.2.0-3)
[2024-03-10T13:32:11+0300] [ALPM] installed mingw-w64-ucrt-x86_64-zstd (1.5.5-1)
[2024-03-10T13:32:11+0300] [ALPM] installed mingw-w64-ucrt-x86_64-zlib (1.3-1)
[2024-03-10T13:32:12+0300] [ALPM] installed mingw-w64-ucrt-x86_64-binutils (2.41-3)
[2024-03-10T13:32:15+0300] [ALPM] installed mingw-w64-ucrt-x86_64-headers-git (11.0.0.r547.g4c8123efb-1)
[2024-03-10T13:32:17+0300] [ALPM] installed mingw-w64-ucrt-x86_64-crt-git (11.0.0.r547.g4c8123efb-1)
[2024-03-10T13:32:17+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gmp (6.3.0-2)
[2024-03-10T13:32:18+0300] [ALPM] installed mingw-w64-ucrt-x86_64-isl (0.26-1)
[2024-03-10T13:32:18+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libiconv (1.17-3)
[2024-03-10T13:32:18+0300] [ALPM] installed mingw-w64-ucrt-x86_64-mpfr (4.2.1-2)
[2024-03-10T13:32:18+0300] [ALPM] installed mingw-w64-ucrt-x86_64-mpc (1.3.1-2)
[2024-03-10T13:32:18+0300] [ALPM] installed mingw-w64-ucrt-x86_64-windows-default-manifest (6.4-4)
[2024-03-10T13:32:18+0300] [ALPM] installed mingw-w64-ucrt-x86_64-winpthreads-git (11.0.0.r547.g4c8123efb-1)
[2024-03-10T13:32:20+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gcc (13.2.0-3)
[2024-03-10T13:32:30+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-ada (13.2.0-3)
[2024-03-10T13:32:30+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-libgfortran (13.2.0-3)
[2024-03-10T13:32:30+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-fortran (13.2.0-3)
[2024-03-10T13:32:30+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-objc (13.2.0-3)
[2024-03-10T13:32:30+0300] [ALPM] installed mingw-w64-ucrt-x86_64-expat (2.5.0-1)
[2024-03-10T13:32:37+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gettext (0.22.4-3)
[2024-03-10T13:32:37+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libtre-git (r177.07e66d0-1)
[2024-03-10T13:32:37+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libsystre (1.0.1-5)
[2024-03-10T13:32:50+0300] [ALPM] installed mingw-w64-ucrt-x86_64-ncurses (6.4.20231217-1)
[2024-03-10T13:32:50+0300] [ALPM] installed mingw-w64-ucrt-x86_64-bzip2 (1.0.8-3)
[2024-03-10T13:32:50+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libffi (3.4.4-1)
[2024-03-10T13:32:50+0300] [ALPM] installed mingw-w64-ucrt-x86_64-mpdecimal (2.5.1-1)
[2024-03-10T13:33:01+0300] [ALPM] installed mingw-w64-ucrt-x86_64-openssl (3.2.0-1)
[2024-03-10T13:33:01+0300] [ALPM] installed mingw-w64-ucrt-x86_64-termcap (1.3.1-7)
[2024-03-10T13:33:01+0300] [ALPM] installed mingw-w64-ucrt-x86_64-readline (8.2.007-1)
[2024-03-10T13:33:05+0300] [ALPM] installed mingw-w64-ucrt-x86_64-tcl (8.6.12-2)
[2024-03-10T13:33:05+0300] [ALPM] installed mingw-w64-ucrt-x86_64-sqlite3 (3.44.2-1)
[2024-03-10T13:33:06+0300] [ALPM] installed mingw-w64-ucrt-x86_64-tk (8.6.12-2)
[2024-03-10T13:33:07+0300] [ALPM] installed mingw-w64-ucrt-x86_64-xz (5.4.5-1)
[2024-03-10T13:33:12+0300] [ALPM] installed mingw-w64-ucrt-x86_64-tzdata (2023d-1)
[2024-03-10T13:33:39+0300] [ALPM] installed mingw-w64-ucrt-x86_64-python (3.11.7-1)
[2024-03-10T13:33:39+0300] [ALPM] installed mingw-w64-ucrt-x86_64-xxhash (0.8.2-2)
[2024-03-10T13:33:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gdb (14.1-1)
[2024-03-10T13:33:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-gdb-multiarch (14.1-1)
[2024-03-10T13:33:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libgccjit (13.2.0-3)
[2024-03-10T13:33:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-libmangle-git (11.0.0.r547.g4c8123efb-1)
[2024-03-10T13:33:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-make (4.4.1-1)
[2024-03-10T13:33:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-pkgconf (1~2.1.0-1)
[2024-03-10T13:33:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-tools-git (11.0.0.r547.g4c8123efb-1)
[2024-03-10T13:33:40+0300] [ALPM] installed mingw-w64-ucrt-x86_64-winstorecompat-git (11.0.0.r547.g4c8123efb-1)
[2024-03-10T13:33:40+0300] [ALPM] transaction completed
[2024-03-10T13:33:40+0300] [ALPM] running 'texinfo-install.hook'...
